Name,Handle,Category,,IG,Tiktok,XHS,PR  Kit Seeding (10-19 Sep),RSVP for PR Kit,Invited for 6 Nov,RSVP for Event,Post Launch Hosting (TBC),Paid/ Seeding Collab,Rates,Curly's Target,Curly's  Value In-kind (grocer + dining),Curly's Rate Remarks,Curly's Remarks
Leo Lee,mr_agleooleo,Pro / home chefs,HNW couples with young kids,36.6K,"2,791",,Yes,Accepted,Yes,No - not in town,,"Yes - Paid, for first engagement - best if we can half barter","- ⁠1x Instagram Reel (Standalone): $6,000
- 1x Instagram Reel + IG Stories (3 frames): $8,500
- IG Story Set Only (3 frames): $2,500
- Package - 
10% discount: 2 x IG Reels + 2 X IGS: $15,300 (U.P. $17,000)

⁠Optional Add-On: Featuring Rachel and Ollie in the Reel
If you’d like Rachel and Ollie to be featured alongside Leo in the video, the additional fee is $8,000. This covers their participation, talent time, and integrated family-style storytelling.","$5,000","$1,000",For 1x IGR + option to collab tag if content is suitable - can we also find out how much to include Ollie,"What's the cost to just feature ollie and not rach: +$3k to Leo's rates 

What about collab tag w curly's - is that included?

"
Karmen Tang,tangkarmen,Premium Lifestyle,Wellness,13.8K,"3,648",,Yes,Accepted,Yes,No - not in town,,"Yes - Paid, for first engagement - best if we can half barter + work out long term arrangement :)","- 1x Instagram Reel + 2–3 IG Stories: SGD $1,500
- 1x Instagram Reel with collab tag (no stories): SGD $1,800
- 3x Instagram Reels + 2–3 IG Stories per Reel with collab: SGD $4,500","$1,000",$500,"For 1x IGR + option to collab tag if content is suitable
Cross-post to TT",Yes paid collab - need a meeting or vritual call to run through brand + potential long term partnership
Charlotte Mei,thecharlottemei,Pro / home chefs,,41K,"6,586",,Yes,No - Not in town. To invite for event,Yes,No - to invite for post launch tasting,,Yes - Seeding,"- 1x Instagram Reel and 3x IG stories: $5,600
- 1x Instagram Reel with collab tag: $5,330
- Package -
First reel: $4,100
Subsequent reels 5% discount: $3,895 per reel, with 2 complimentary IG stories. Collab tag, it'll be $1,230 per reel.",,,,"Invite to event + seed, but focus paid on workshop engagements instead"
Jessica Tham,tippytapp,HNW couples with young kids,,108K,,,Yes,Accepted,Yes,No - to invite for post launch tasting,,"Yes - Paid, for first engagement - best if we can half barter","- 1x Reel with 2 IG stories - $6000 
- 1x Reel with collab tag - $5400
- 2 x Instagram Reels: $9,200","$4,500","$1,000",For 1x IGR + option to collab tag if content is suitable,"2x IGR at least 1x with collab tag?
No TT acc?"
Amelia,amelia_singapore,HNW DINKs,,12.4K,,,Yes,No response,Yes,No response,Yes,Yes - ideally seeding,,,,,Does she cook?
Christabel Chua,bellywellyjelly,HNW DINKs,,305K,23.9K,,Yes,No response,Yes,No,,Yes - ideally Seeding - E&F to connect,,,,,"Reach out to manager, Jan - do you have her contact?"
Brie Benfell,briebenfell,HNW couples with young kids,,53K,45.3K,,Yes,Accepted,Yes,No - not in town,Yes,Yes - ideally Seeding - Host w friends/Date content,,,,,
Jeremy Tan,foodiejerm,HNW DINKs,,78.4K,34.3K,,Yes,No response,Yes,No response,Yes,Yes - ideally Seeding - Host w friends/Date content,,,,,Include his wife Jane
Mong Chin Yeoh,@mongabong / @mongabongeats,HNW couples with young kids,,322K,67.4K,,Yes,Accepted,Yes,Yes,,Yes - Seeding w content brief - E&F to connect,,,,,
Hazel Yeo,haziepie,HNW couples with young kids,,"4,047",,,Yes,Accepted,Yes,Yes,Yes,Yes - Seeding w content brief - E&F to connect,,,,,"with kids / dining grocer, home cook, co-founder of jingbotanics"
